"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"363","Kurla Bus Station East to Mahul Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-363","Kurla Bus Station East","Mahul Village","20","44 Minutes","7.4","06:00","21:00","06:25","21:50"
"364","Mahul Village to Trombay Route Map","https://www.mumbai77.com/bus-routes/bus-no-364","Mahul Village","Trombay","36","1 Hour 29 Minutes","14.7","06:05","21:05","06:15","22:05"
"365","Kurla Station West to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-365","Kurla Station West","Sahar Cargo Complex","22","1 Hour 19 Minutes","10.2","05:50","22:10","06:35","22:55"
"366","Kurla Bus Station East to Shivaji Nagar Terminus Route Map","https://www.mumbai77.com/bus-routes/bus-no-366","Kurla Bus Station East","Shivaji Nagar Terminus","14","30 Minutes","6.6","06:30","23:00","07:00","23:30"
"367","Gadkari Quarry to Kurla Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-367","Gadkari Quarry","Kurla Bus Station East","18","36 Minutes","7.3","06:00","23:45","05:30","00:15"
"368-ltd","P Thakre Udyan Bus Station Sewree to Mulund Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-368-ltd","P Thakre Udyan Bus Station Sewree","Mulund Depot","47","1 Hour 18 Minutes","30.3","06:40","20:11","05:25","22:30"
"369","Kurla Bus Station East to S R A Colony Washi Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-369","Kurla Bus Station East","S R A Colony Washi Naka","14","36 Minutes","5","05:25","01:00","05:00","00:38"
"37","J Mehta Marg to Kurla Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-37","J Mehta Marg","Kurla Station West","53","1 Hour 10 Minutes","23.3","05:30","22:10","06:30","23:00"
"370","Mhada Bus Station Mulund E to Kelkar College Route Map","https://www.mumbai77.com/bus-routes/bus-no-370","Mhada Bus Station Mulund E","Kelkar College","15","23 Minutes","4.4","06:00","18:48","06:14","19:06"
"372","Shivaji Nagar Terminus to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-372","Shivaji Nagar Terminus","Shivaji Nagar Depot","7","16 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
